,x coord,y coord,quality
0,786,655,0.84375
1,1089,961,0.828125
2,792,1029,0.78125
3,210,167,0.765625
4,710,113,0.765625
5,586,539,0.734375
6,651,448,0.734375
7,67,306,0.734375
8,1140,601,0.71875
9,1213,246,0.71875
10,721,349,0.6875
11,191,93,0.6875
12,718,541,0.671875
13,582,305,0.671875
14,120,543,0.671875
15,507,222,0.7222222222222215
16,243,1029,0.65625
17,1203,989,0.65625
18,1158,479,0.65625
19,121,29,0.7083333333333327
20,531,776,0.640625
21,829,248,0.640625
22,615,913,0.640625
23,848,1097,0.640625
24,389,803,0.625
25,991,737,0.625
26,833,333,0.625
27,891,33,0.680555555555555
28,756,405,0.609375
29,1037,265,0.609375
30,1029,373,0.609375
31,1248,1230,0.609375
32,439,485,0.609375
33,461,940,0.609375
34,1134,854,0.609375
35,1166,984,0.609375
36,285,545,0.6666666666666662
37,92,485,0.6666666666666662
38,38,964,0.59375
39,1059,93,0.59375
40,898,1019,0.59375
41,1206,883,0.59375
42,707,891,0.6527777777777773
43,93,846,0.6388888888888885
44,1029,340,0.6388888888888885
45,676,319,0.6388888888888885
46,407,594,0.578125
47,321,698,0.578125
48,794,1134,0.578125
49,1185,34,0.6249999999999997
50,18,1075,0.6249999999999997
51,254,624,0.6249999999999997
52,1168,443,0.5625
53,1196,541,0.5625
54,447,417,0.5625
55,1083,329,0.5625
56,700,218,0.5625
57,738,204,0.5625
58,687,179,0.5625
59,415,82,0.5625
60,80,774,0.5625
61,890,1107,0.5625
62,561,1224,0.5625
63,420,264,0.6111111111111108
64,445,193,0.6111111111111108
65,1212,409,0.7124999999999995
66,513,1058,0.546875
67,90,994,0.546875
68,491,1015,0.546875
69,18,184,0.546875
70,954,527,0.546875
71,548,421,0.546875
72,939,259,0.546875
73,1162,76,0.546875
74,1034,465,0.546875
75,790,710,0.546875
76,988,807,0.546875
77,725,809,0.546875
78,153,913,0.546875
79,1193,295,0.6527777777777773
80,109,225,0.597222222222222
81,294,820,0.597222222222222
82,411,1221,0.597222222222222
83,834,439,0.597222222222222
84,29,902,0.53125
85,235,1156,0.53125
86,40,62,0.53125
87,219,971,0.53125
88,323,210,0.53125
89,56,372,0.53125
90,1126,390,0.53125
91,1121,96,0.53125
92,600,165,0.5833333333333331
93,435,1079,0.5833333333333331
94,687,437,0.5833333333333331
95,357,292,0.6874999999999996
96,676,55,0.6249999999999997
97,870,114,0.6249999999999997
98,985,426,0.5694444444444443
99,205,1112,0.5694444444444443
100,812,88,0.5694444444444443
101,185,292,0.5694444444444443
102,1223,86,0.515625
103,997,103,0.515625
104,1206,122,0.515625
105,721,417,0.515625
106,1116,426,0.515625
107,1128,655,0.515625
108,24,714,0.515625
109,135,838,0.515625
110,876,924,0.515625
111,565,940,0.515625
112,59,1074,0.515625
113,226,657,0.515625
114,312,1144,0.515625
115,482,124,0.6111111111111108
116,1098,840,0.5555555555555555
117,648,925,0.5
118,1029,755,0.5
119,128,357,0.5
120,91,345,0.5
121,243,824,0.5
122,800,170,0.5
123,942,165,0.5
124,65,162,0.5
125,1126,160,0.5
126,897,835,0.5
127,1020,941,0.5
128,1014,973,0.5
129,550,607,0.597222222222222
130,781,1250,0.5416666666666666
131,821,1220,0.5416666666666666
132,612,1029,0.5416666666666666
133,369,145,0.5416666666666666
134,142,132,0.5416666666666666
135,933,1103,0.5833333333333331
136,952,1071,0.484375
137,251,1111,0.484375
138,756,282,0.484375
139,32,312,0.484375
140,618,397,0.484375
141,335,399,0.484375
142,96,402,0.484375
143,477,672,0.484375
144,72,715,0.484375
145,993,273,0.484375
146,366,1114,0.484375
147,1251,149,0.484375
148,636,774,0.484375
149,1190,802,0.484375
150,108,284,0.484375
151,1025,865,0.484375
152,555,1024,0.484375
153,1118,1140,0.6249999999999998
154,37,430,0.6249999999999998
155,311,1178,0.5277777777777778
156,975,977,0.5277777777777778
157,267,249,0.5277777777777778
158,710,1182,0.5694444444444443
159,813,387,0.5694444444444443
160,571,109,0.5694444444444443
161,171,725,0.46875
162,514,1242,0.46875
163,246,872,0.46875
164,376,847,0.46875
165,199,805,0.46875
166,298,1107,0.46875
167,566,720,0.46875
168,1065,489,0.46875
169,1109,705,0.46875
170,486,318,0.46875
171,184,456,0.46875
172,863,215,0.46875
173,839,500,0.46875
174,482,637,0.46875
175,370,640,0.46875
176,213,1204,0.5555555555555555
177,169,551,0.5555555555555555
178,369,1056,0.5000000000000001
179,141,1027,0.5000000000000001
180,1220,442,0.5000000000000001
181,513,366,0.453125
182,873,284,0.453125
183,1157,521,0.453125
184,698,1036,0.453125
185,384,998,0.453125
186,314,951,0.453125
187,79,939,0.453125
188,822,938,0.453125
189,513,842,0.453125
190,759,602,0.453125
191,46,587,0.453125
